First Name, Last Name, Email Address,Institution Student ID
rse6.0destg,stud001,dhavalda+rse6.0destgstud001@cisco.comx,
rse6.0destg,stud002,dhavalda+rse6.0destgstud002@cisco.comx,
rse6.0destg,stud003,dhavalda+rse6.0destgstud003@cisco.comx,
rse6.0destg,stud004,dhavalda+rse6.0destgstud004@cisco.comx,
rse6.0destg,stud005,dhavalda+rse6.0destgstud005@cisco.comx,
rse6.0destg,stud006,dhavalda+rse6.0destgstud006@cisco.comx,
rse6.0destg,stud007,dhavalda+rse6.0destgstud007@cisco.comx,
rse6.0destg,stud008,dhavalda+rse6.0destgstud008@cisco.comx,
rse6.0destg,stud009,dhavalda+rse6.0destgstud009@cisco.comx,
rse6.0destg,stud010,dhavalda+rse6.0destgstud010@cisco.comx,
rse6.0destg,stud011,dhavalda+rse6.0destgstud011@cisco.comx,
rse6.0destg,stud012,dhavalda+rse6.0destgstud012@cisco.comx,
rse6.0destg,stud013,dhavalda+rse6.0destgstud013@cisco.comx,
rse6.0destg,stud014,dhavalda+rse6.0destgstud014@cisco.comx,
rse6.0destg,stud015,dhavalda+rse6.0destgstud015@cisco.comx,
rse6.0destg,stud016,dhavalda+rse6.0destgstud016@cisco.comx,
